Title,Description,Manual,Price,test_str,bart-large-mnli,mDeBERTa-v3-base-mnli-xnli,DeBERTa-v3-base-mnli-fever-anli,deberta-v3-base-zeroshot-v1.1-all-33
TRUFFLE SCALLOP,"Scallop Hwe, Truffle Soy, Pickled Radish, Truffle Aioli, Shimeji Mushrooms, Burgundy Truffle",not vegetarian,39,"TRUFFLE SCALLOP : Scallop Hwe, Truffle Soy, Pickled Radish, Truffle Aioli, Shimeji Mushrooms, Burgundy Truffle",meat,vegetarian,vegetarian,vegetarian
CEVICHE,"Assorted Fish, White Radish Dressing, Avocado, Lime, Red Onion, Jalapeño",not vegetarian,23,"CEVICHE : Assorted Fish, White Radish Dressing, Avocado, Lime, Red Onion, Jalapeño",vegetarian,vegetarian,vegetarian,vegetarian
AMBERJACK & ONION,"Amberjack Hwe, Cucumber, Radish, Serrano, Pearl Onion, Soy Bean Dressing",not vegetarian,27,"AMBERJACK & ONION : Amberjack Hwe, Cucumber, Radish, Serrano, Pearl Onion, Soy Bean Dressing",meat,vegetarian,vegetarian,vegetarian
FLUKE HWE,"Wild Fluke, Red Onion, Cucumber, Myoga, Olive Oil “Dongchimi” Emulsion, Plum Cho Gochujang",not vegetarian,25,"FLUKE HWE : Wild Fluke, Red Onion, Cucumber, Myoga, Olive Oil “Dongchimi” Emulsion, Plum Cho Gochujang",meat,vegetarian,vegetarian,vegetarian
CLAM & SEABREAM,"Manilla Clams, Sea Bream, Serrano Pepper, Olive Oil, Dill",not vegetarian,26,"CLAM & SEABREAM : Manilla Clams, Sea Bream, Serrano Pepper, Olive Oil, Dill",meat,vegetarian,meat,vegetarian
JEJU FRIED CHIKIN,"2pc Chicken, Onion Powder, Yogurt Dip, Caviar",not vegetarian,31,"JEJU FRIED CHIKIN : 2pc Chicken, Onion Powder, Yogurt Dip, Caviar",meat,meat,meat,meat
JA JANG STYLE RIBS,"Half Rack St. Louis Style Pork Ribs, Maple - Black Bean Glaze, Banchan",not vegetarian,33,"JA JANG STYLE RIBS : Half Rack St. Louis Style Pork Ribs, Maple - Black Bean Glaze, Banchan",meat,meat,meat,meat
GOCHUJANG BOKUM,"Beef Ragu, Iceberg Lettuce, Pickled Mustard, Palae Seaweed, Potato Crisps",not vegetarian,13,"GOCHUJANG BOKUM : Beef Ragu, Iceberg Lettuce, Pickled Mustard, Palae Seaweed, Potato Crisps",meat,meat,meat,meat
WAGYU RAMYUN,"A Rich Veal Bone Broth, Raw Miyazaki A5 Wagyu Brisket, Kikurage, Enoki, Scallion Oil, Sesame, Chili Beef Ragu",not vegetarian,45,"WAGYU RAMYUN : A Rich Veal Bone Broth, Raw Miyazaki A5 Wagyu Brisket, Kikurage, Enoki, Scallion Oil, Sesame, Chili Beef Ragu",meat,meat,meat,meat
GOCHU RAMYUN,"A Rich Spicy Pork Bone Broth, Pork Belly, White Kimchi, Sauce “Ko”mericaine, Charred Scallion Oil",not vegetarian,23,"GOCHU RAMYUN : A Rich Spicy Pork Bone Broth, Pork Belly, White Kimchi, Sauce “Ko”mericaine, Charred Scallion Oil",meat,meat,meat,meat
FAMILY RAMYUN,"A Rich Pork Bone Broth, Scallion, Porchetta, Shrimp, Pickled Jalapeño, Wood Ear Mushroom, Calabrian Chili",not vegetarian,23,"FAMILY RAMYUN : A Rich Pork Bone Broth, Scallion, Porchetta, Shrimp, Pickled Jalapeño, Wood Ear Mushroom, Calabrian Chili",meat,meat,meat,meat
MUSHROOM RAMYUN,"Seasonal Mushrooms, Parmesan Foam, Lime, Chervil, Garlic Chips, Pickled Garlic",vegetarian,27,"MUSHROOM RAMYUN : Seasonal Mushrooms, Parmesan Foam, Lime, Chervil, Garlic Chips, Pickled Garlic",meat,vegetarian,vegetarian,vegetarian
LOBSTER MYUN,"Lobster, “Sauce Américaine”, Calabrian Chili, Soy Milk, Lobster Emulsion",not vegetarian,36,"LOBSTER MYUN : Lobster, “Sauce Américaine”, Calabrian Chili, Soy Milk, Lobster Emulsion",meat,vegetarian,meat,meat
LAMB JA JANG MYUN,"Elysian Field Lamb Ragu, Black Bean Sauce, Szechuan, Pickled Onion, Herbs, Cucumber",not vegetarian,27,"LAMB JA JANG MYUN : Elysian Field Lamb Ragu, Black Bean Sauce, Szechuan, Pickled Onion, Herbs, Cucumber",meat,meat,meat,meat
DONKATSU,"Berkshire Pork, Tomato Mustard Reduction, Seared Maitake, Cole Slaw",not vegetarian,38,"DONKATSU : Berkshire Pork, Tomato Mustard Reduction, Seared Maitake, Cole Slaw",meat,meat,meat,meat
GRILLED OCEAN TROUT,"Spicy Cod Roe “Gribiche”, Trout Roe, Jalapeño",not vegetarian,34,"GRILLED OCEAN TROUT : Spicy Cod Roe “Gribiche”, Trout Roe, Jalapeño",meat,meat,meat,meat
AMERICAN WAGYU RIBEYE,"Chimichurri, Romesco, Ssam, Pickles",not vegetarian,6/oz,"AMERICAN WAGYU RIBEYE : Chimichurri, Romesco, Ssam, Pickles",meat,vegetarian,meat,vegetarian
ELYSIAN FARM RACK OF LAMB,"Pan Fried Fingerling Potatoes, Truffle Vinaigrette Salad, Pickled Jalapeño, Sesame Dipping Sauce",not vegetarian,150,"ELYSIAN FARM RACK OF LAMB : Pan Fried Fingerling Potatoes, Truffle Vinaigrette Salad, Pickled Jalapeño, Sesame Dipping Sauce",meat,meat,meat,meat
MARINARA,"San Marzano Tomatoes, Amalfi Wild Oregano, Garlic, Basil, Sicilian Sea Salt, EVOO",vegetarian,,"MARINARA : San Marzano Tomatoes, Amalfi Wild Oregano, Garlic, Basil, Sicilian Sea Salt, EVOO",meat,vegetarian,vegetarian,vegetarian
MARGHERITA,"San Marzano Tomatoes, Buffalo Mozzarella DOP, Basil, Sicilian Sea Salt, EVOO",vegetarian,,"MARGHERITA : San Marzano Tomatoes, Buffalo Mozzarella DOP, Basil, Sicilian Sea Salt, EVOO",meat,vegetarian,vegetarian,vegetarian
BIANCA,"Buffalo Mozzarella DOP, Garlic, Basil, Sicilian Sea Salt, EVOO",vegetarian,,"BIANCA : Buffalo Mozzarella DOP, Garlic, Basil, Sicilian Sea Salt, EVOO",meat,vegetarian,vegetarian,vegetarian
FILETTI,"Cherry Tomatoes, Buffalo Mozzarella DOP, Garlic, Basil, Sicilian Sea Salt, EVOO",vegetarian,,"FILETTI : Cherry Tomatoes, Buffalo Mozzarella DOP, Garlic, Basil, Sicilian Sea Salt, EVOO",meat,vegetarian,vegetarian,vegetarian
COSACCA,"San Marzano Tomatoes, Pecorino Romano, Basil, Sicilian Sea Salt, EVOO",vegetarian,,"COSACCA : San Marzano Tomatoes, Pecorino Romano, Basil, Sicilian Sea Salt, EVOO",vegetarian,vegetarian,vegetarian,vegetarian
SPECIAL PIZZA,Rotates Weekly,vegetarian,,SPECIAL PIZZA : Rotates Weekly,vegetarian,vegetarian,meat,meat
Vermicelli Delight,Korean Sweet Potato Noodles With Assorted Vegetables Marinated With Soy Sauce,vegetarian,16,Vermicelli Delight : Korean Sweet Potato Noodles With Assorted Vegetables Marinated With Soy Sauce,vegetarian,vegetarian,vegetarian,vegetarian
Spicy Korean Cauliflower Bites,With Vegan Mayonnaise Dip,vegetarian,16,Spicy Korean Cauliflower Bites : With Vegan Mayonnaise Dip,vegetarian,vegetarian,vegetarian,vegetarian
Spicy Sesame Leaf Tofu Patties,Minced Oyster Mushrooms And Tofu Wrapped In Sesame Leaves,vegetarian,18,Spicy Sesame Leaf Tofu Patties : Minced Oyster Mushrooms And Tofu Wrapped In Sesame Leaves,meat,vegetarian,vegetarian,vegetarian
Stuffed Shiitake Mushrooms,no description,vegetarian,18,Stuffed Shiitake Mushrooms : no description,meat,vegetarian,vegetarian,vegetarian
Korean Pancakes Platter,"Leek, Kimchi Mushroom & Mung Bean Pancakes With Bean Sprouts And Kabocha Pumpkin",vegetarian,20,"Korean Pancakes Platter : Leek, Kimchi Mushroom & Mung Bean Pancakes With Bean Sprouts And Kabocha Pumpkin",meat,vegetarian,vegetarian,vegetarian
Organic Wheat Free Kale Pancakes,Made With Sweet Rice Flour,vegetarian,19,Organic Wheat Free Kale Pancakes : Made With Sweet Rice Flour,vegetarian,vegetarian,vegetarian,vegetarian
Plant Based Korean ‘Bulgogi’ Bossam Bites,Plant Based ‘Bulgogi’with Pickled Radish And Mushrooms In Spicy Korean Blackraspberry Sauce,vegetarian,18,Plant Based Korean ‘Bulgogi’ Bossam Bites : Plant Based ‘Bulgogi’with Pickled Radish And Mushrooms In Spicy Korean Blackraspberry Sauce,meat,meat,vegetarian,vegetarian
Korean Kochi Skewers,"Skewers Featuring Mushroom Head, Asparagus, Scallion And Sweet Chilli",vegetarian,18,"Korean Kochi Skewers : Skewers Featuring Mushroom Head, Asparagus, Scallion And Sweet Chilli",meat,vegetarian,vegetarian,vegetarian
Fritters Galore,"Crispy Batter Fried Todok, Sweet Potato, Kabocha Pumpkin, Taro, Broccoli, Beet & Onion",vegetarian,21,"Fritters Galore : Crispy Batter Fried Todok, Sweet Potato, Kabocha Pumpkin, Taro, Broccoli, Beet & Onion",meat,vegetarian,vegetarian,vegetarian
Maitake Mushroom Fritters,Organic Maitake Mushrooms Deep Fried In Crispy Batter,vegetarian,23,Maitake Mushroom Fritters : Organic Maitake Mushrooms Deep Fried In Crispy Batter,meat,vegetarian,vegetarian,vegetarian
Combination Rolls,"Buckwheat Noodle Rolls, Seaweed Rolls, Mushroom Rolls And Kimchi Vermicelli Rolls",vegetarian,21,"Combination Rolls : Buckwheat Noodle Rolls, Seaweed Rolls, Mushroom Rolls And Kimchi Vermicelli Rolls",vegetarian,vegetarian,vegetarian,vegetarian
HanGawi Stone Bowl Rice,Assortment Of Vegetables With Hot Chili Paste On The Side,vegetarian,26,HanGawi Stone Bowl Rice : Assortment Of Vegetables With Hot Chili Paste On The Side,vegetarian,vegetarian,vegetarian,vegetarian
Spicy Kimchi Stone Bowl Rice,Spicy Preserved Korean Cabbage With Vegetables And Mushrooms,vegetarian,26,Spicy Kimchi Stone Bowl Rice : Spicy Preserved Korean Cabbage With Vegetables And Mushrooms,vegetarian,vegetarian,vegetarian,vegetarian
Avocado Stone Bowl Rice,"Avocado With Vegetables, Mushrooms And Mountain Greens With Miso Sauce On The Side",vegetarian,26,"Avocado Stone Bowl Rice : Avocado With Vegetables, Mushrooms And Mountain Greens With Miso Sauce On The Side",vegetarian,vegetarian,vegetarian,vegetarian
Zen Stone Bowl Rice,"Wild Mountain Greens With Vegetables, And Mushrooms, Served With Organic Brown Rice",vegetarian,29,"Zen Stone Bowl Rice : Wild Mountain Greens With Vegetables, And Mushrooms, Served With Organic Brown Rice",vegetarian,vegetarian,vegetarian,vegetarian
Plant Based Korean ‘Bulgogi’ Stone Bowl Rice,"Plant Based ‘Bulgogi’ With Sesame Leaves, Vegetables And Mushrooms",vegetarian,29,"Plant Based Korean ‘Bulgogi’ Stone Bowl Rice : Plant Based ‘Bulgogi’ With Sesame Leaves, Vegetables And Mushrooms",vegetarian,vegetarian,vegetarian,vegetarian
Tofu Stone Bowl Rice With Sesame Leaves,"Tofu Crumbles, Sesame Leaves, Mushrooms And Vegetables With Hot Chili Paste On The Side",vegetarian,29,"Tofu Stone Bowl Rice With Sesame Leaves : Tofu Crumbles, Sesame Leaves, Mushrooms And Vegetables With Hot Chili Paste On The Side",vegetarian,vegetarian,vegetarian,vegetarian
Mushroom Stone Bowl Rice With Black Truffle Paste,"Variety Of Mushrooms, Gingko Nuts, Chestnut, Black Truffle Paste In Spicy Truffle Sauce",vegetarian,35,"Mushroom Stone Bowl Rice With Black Truffle Paste : Variety Of Mushrooms, Gingko Nuts, Chestnut, Black Truffle Paste In Spicy Truffle Sauce",meat,vegetarian,vegetarian,vegetarian
Vegetable Dumplings,"Stuffed With Vegetables, Mushrooms, Tofu And Vermicelli. Served Steamed Or Fried",vegetarian,15,"Vegetable Dumplings : Stuffed With Vegetables, Mushrooms, Tofu And Vermicelli. Served Steamed Or Fried",vegetarian,vegetarian,vegetarian,vegetarian
Spicy Baby Dumplings,"Stuffed With Vegetables, Mushrooms, Tofu And Vermicelli. With Special Spicy Sauce",vegetarian,15,"Spicy Baby Dumplings : Stuffed With Vegetables, Mushrooms, Tofu And Vermicelli. With Special Spicy Sauce",vegetarian,vegetarian,vegetarian,vegetarian
Kale Dumplings In Tofu Skin Wrap,"Kale, Tofu, Edamame Beans And Vegetables Wrapped In Tofu Skin",vegetarian,17,"Kale Dumplings In Tofu Skin Wrap : Kale, Tofu, Edamame Beans And Vegetables Wrapped In Tofu Skin",vegetarian,vegetarian,vegetarian,vegetarian
Black Truffle Dumplings,"Stuffed With Variety Of Mushrooms, Tofu And Black Truffle Paste With Truffle Oil Sauce",vegetarian,20,"Black Truffle Dumplings : Stuffed With Variety Of Mushrooms, Tofu And Black Truffle Paste With Truffle Oil Sauce",meat,vegetarian,vegetarian,vegetarian
Spicy Kale And Broccoli Kimchi Salad,With Red Beets And Tofu,vegetarian,16,Spicy Kale And Broccoli Kimchi Salad : With Red Beets And Tofu,vegetarian,vegetarian,vegetarian,vegetarian
Acorn Noodles Salad,"Acorn Noodles, Mix Greens And Avocado Fritter",vegetarian,17,"Acorn Noodles Salad : Acorn Noodles, Mix Greens And Avocado Fritter",vegetarian,vegetarian,vegetarian,vegetarian
Organic Dandelion And Avocado Salad,With Taro Fritters And Ginger Mustard Dressing,vegetarian,17,Organic Dandelion And Avocado Salad : With Taro Fritters And Ginger Mustard Dressing,vegetarian,vegetarian,vegetarian,vegetarian
Todok Salad,"Fresh Todok (Korean Root Vegetable) With Watercress, Cabbage And Carrots In Bean Paste Lemon Dressing",vegetarian,20,"Todok Salad : Fresh Todok (Korean Root Vegetable) With Watercress, Cabbage And Carrots In Bean Paste Lemon Dressing",vegetarian,vegetarian,vegetarian,vegetarian
HOUSE SALAMI & CHEESE,"Savory Pizzelles, Crescenza Cheese, Sicilian Honey",not vegetarian,15,"HOUSE SALAMI & CHEESE : Savory Pizzelles, Crescenza Cheese, Sicilian Honey",meat,vegetarian,meat,vegetarian
SCALLOP CRUDO,"Pink Apples, Italian Basil, Smoked Pine Nut Brodo",not vegetarian,21,"SCALLOP CRUDO : Pink Apples, Italian Basil, Smoked Pine Nut Brodo",meat,vegetarian,vegetarian,vegetarian
TONNATO VITELLO,"Spicy Veal Tartare, Tuna Carpaccio",not vegetarian,20,"TONNATO VITELLO : Spicy Veal Tartare, Tuna Carpaccio",meat,meat,meat,meat
CHRYSANTHEMUM SALAD,"Garlic, Sesame, Parmesan",vegetarian,21,"CHRYSANTHEMUM SALAD : Garlic, Sesame, Parmesan",vegetarian,vegetarian,vegetarian,vegetarian
SPICY CANTALOUPE & COPPA,"Spiced Almonds, Sheep's Cheese, Thai Basil",not vegetarian,19,"SPICY CANTALOUPE & COPPA : Spiced Almonds, Sheep's Cheese, Thai Basil",meat,vegetarian,vegetarian,vegetarian
BBQ CALAMARI,"Pepperoni Fried Rice, Herbed Labneh",not vegetarian,19,"BBQ CALAMARI : Pepperoni Fried Rice, Herbed Labneh",meat,meat,meat,meat
BUFFALO MILK CARAMELLE,"Black Sesame, Candied Kumquat",vegetarian,28,"BUFFALO MILK CARAMELLE : Black Sesame, Candied Kumquat",meat,vegetarian,meat,meat
STRACCHINO GNOCCHI,"Broccoli Rabe, Crispy Garlic, Sharp Provolone",vegetarian,28,"STRACCHINO GNOCCHI : Broccoli Rabe, Crispy Garlic, Sharp Provolone",meat,vegetarian,vegetarian,vegetarian
SORPRESINE & SMOKED MUSSELS,"Peroni, Pimenton, Cilantro Macho",not vegetarian,27,"SORPRESINE & SMOKED MUSSELS : Peroni, Pimenton, Cilantro Macho",meat,meat,meat,meat
SOURDOUGH PASTA CACCIATORE,"Mezcal-Braised Chicken, Nduja, Sicilian Olives",not vegetarian,29,"SOURDOUGH PASTA CACCIATORE : Mezcal-Braised Chicken, Nduja, Sicilian Olives",meat,meat,meat,meat
GARGANELLI GIGANTI,"Broken Meatball Ragu, Guanciale, Pecorino",not vegetarian,29,"GARGANELLI GIGANTI : Broken Meatball Ragu, Guanciale, Pecorino",meat,meat,meat,meat
SPICED ORATA ALLA GRIGLIA,"Sicilian Saffron, Toasted Almond, Fennel Buttermilk",not vegetarian,34,"SPICED ORATA ALLA GRIGLIA : Sicilian Saffron, Toasted Almond, Fennel Buttermilk",meat,vegetarian,vegetarian,vegetarian
CHICKEN SCARPARIELLO,"Blackened Sausage, Capocollo, Anaheim Chilies",not vegetarian,31,"CHICKEN SCARPARIELLO : Blackened Sausage, Capocollo, Anaheim Chilies",meat,meat,meat,meat
VEAL 'DA PEPI',"Horseradish, Speck, Caraway",not vegetarian,39,"VEAL 'DA PEPI' : Horseradish, Speck, Caraway",vegetarian,vegetarian,vegetarian,vegetarian
SHELL STEAK AL LIMONE,"Charred, Cured & Confit Lemons",not vegetarian,39,"SHELL STEAK AL LIMONE : Charred, Cured & Confit Lemons",meat,meat,meat,meat
GRILLED PORK SHOULDER*,"Gigante Beans all' Amatriciana, Red Dandelion",not vegetarian,33,"GRILLED PORK SHOULDER* : Gigante Beans all' Amatriciana, Red Dandelion",meat,meat,meat,meat
OUR LASAGNA FOR TWO,"Italian Sausage Bolognese, Whipped Robiolina",not vegetarian,68,"OUR LASAGNA FOR TWO : Italian Sausage Bolognese, Whipped Robiolina",meat,meat,meat,meat
WHOLE ROASTED LOBSTER FOR TWO*,"Smoked Vodka Sauce, Spicy Polenta Tortelli, Lobster Polpette",not vegetarian,135,"WHOLE ROASTED LOBSTER FOR TWO* : Smoked Vodka Sauce, Spicy Polenta Tortelli, Lobster Polpette",meat,meat,meat,meat
JAPANESE SWEET POTATOES,"Sumac, Creamy Italian",vegetarian,14,"JAPANESE SWEET POTATOES : Sumac, Creamy Italian",meat,vegetarian,vegetarian,vegetarian
BROCCOLI DI CICCIO,"Black Garlic Aglio e Olio, Pecorino, Hazelnuts",vegetarian,14,"BROCCOLI DI CICCIO : Black Garlic Aglio e Olio, Pecorino, Hazelnuts",meat,vegetarian,vegetarian,vegetarian
CAULIFLOWER FRANCESCO,Frank's Red Hot Oreganata,vegetarian,12,CAULIFLOWER FRANCESCO : Frank's Red Hot Oreganata,meat,vegetarian,vegetarian,vegetarian
CARAMELIZED PEAR SORBETTO,"Mascarpone Granita, Browned Butter, Amaretto",vegetarian,12,"CARAMELIZED PEAR SORBETTO : Mascarpone Granita, Browned Butter, Amaretto",meat,vegetarian,meat,vegetarian
FIOR DI LATTE MOCHI,"Taggiasca Olive Oil, Sea Salt",vegetarian,10,"FIOR DI LATTE MOCHI : Taggiasca Olive Oil, Sea Salt",meat,vegetarian,vegetarian,vegetarian
BLACK COCOA TIRAMISU,"Marsala Caramel, Crispy Feuilletine",vegetarian,14,"BLACK COCOA TIRAMISU : Marsala Caramel, Crispy Feuilletine",meat,vegetarian,vegetarian,vegetarian
TZATZIKI,"yogurt, dill, cucumber",vegetarian,,"TZATZIKI : yogurt, dill, cucumber",vegetarian,vegetarian,vegetarian,vegetarian
MELITZANOSALATA,"smoked eggplant, tahini, garlic",vegetarian,,"MELITZANOSALATA : smoked eggplant, tahini, garlic",meat,vegetarian,vegetarian,vegetarian
MUHAMARA,"roasted red pepper, pomegranate, walnuts",vegetarian,,"MUHAMARA : roasted red pepper, pomegranate, walnuts",meat,vegetarian,vegetarian,vegetarian
HUMMUS,"tahini, parsley, garlic, lemon",vegetarian,,"HUMMUS : tahini, parsley, garlic, lemon",meat,vegetarian,vegetarian,vegetarian
KOPANISTI,"whipped spicy feta, chili oil",vegetarian,,"KOPANISTI : whipped spicy feta, chili oil",meat,vegetarian,vegetarian,vegetarian
LOLA,"tomatoes, cucumber, olives, feta",vegetarian,26,"LOLA : tomatoes, cucumber, olives, feta",vegetarian,vegetarian,vegetarian,vegetarian
AEGEAN,"kale, brussels sprouts",vegetarian,19,"AEGEAN : kale, brussels sprouts",vegetarian,vegetarian,vegetarian,vegetarian
SANTORINI,"baby gem, roasted corn, lardon, spicy feta, green goddess",not vegetarian,22,"SANTORINI : baby gem, roasted corn, lardon, spicy feta, green goddess",vegetarian,vegetarian,vegetarian,vegetarian
GRILLED EGGPLANT,"tzatziki, pickled green tomatoes",vegetarian,18,"GRILLED EGGPLANT : tzatziki, pickled green tomatoes",meat,meat,meat,meat
TOASTED HALLOUMI,"sesame, honey",vegetarian,19,"TOASTED HALLOUMI : sesame, honey",meat,vegetarian,vegetarian,vegetarian
SAGANAKI FONDUE,"feta, graviera, manouri, pepper jam",vegetarian,22,"SAGANAKI FONDUE : feta, graviera, manouri, pepper jam",meat,vegetarian,vegetarian,vegetarian
SPANAKOPITA SPRING ROLLS,"spinach, mint, parsley, leeks, feta",vegetarian,20,"SPANAKOPITA SPRING ROLLS : spinach, mint, parsley, leeks, feta",vegetarian,vegetarian,vegetarian,vegetarian
GRILLED OCTOPUS,hummus,not vegetarian,28,GRILLED OCTOPUS : hummus,meat,vegetarian,meat,meat
CHICKEN GYRO BAO BUNS,"pickled cucumbers, tzatziki",not vegetarian,22,"CHICKEN GYRO BAO BUNS : pickled cucumbers, tzatziki",meat,meat,meat,meat
TUNA TARTARE,"yuzu, calabrian chili, shallots",not vegetarian,26,"TUNA TARTARE : yuzu, calabrian chili, shallots",vegetarian,vegetarian,vegetarian,vegetarian
LAMB KEFTEDES,"spiced lamb, pickled onion, tabouleh",not vegetarian,22,"LAMB KEFTEDES : spiced lamb, pickled onion, tabouleh",meat,meat,meat,meat
CHICKEN SOUVLAKI,"grilled vegetables, baldo rice",not vegetarian,36,"CHICKEN SOUVLAKI : grilled vegetables, baldo rice",meat,vegetarian,meat,meat
ROASTED KING SALMON,"caper vinaigrette, cauliflower puree, spinach",not vegetarian,34,"ROASTED KING SALMON : caper vinaigrette, cauliflower puree, spinach",meat,vegetarian,meat,meat
SHRIMP ORZO,"tomato, buttered leeks, ouzo",not vegetarian,38,"SHRIMP ORZO : tomato, buttered leeks, ouzo",meat,vegetarian,meat,vegetarian
LAVRAKI,whole mediterranean sea bass,not vegetarian,82,LAVRAKI : whole mediterranean sea bass,meat,meat,meat,meat
GRILLED AUSTRALIAN LAMB CHOPS,"roasted potatoes, tzatziki",not vegetarian,48,"GRILLED AUSTRALIAN LAMB CHOPS : roasted potatoes, tzatziki",meat,meat,meat,meat
MARINATED NEW YORK STRIP,"creekstone farms new york strip, herbed fries",not vegetarian,46,"MARINATED NEW YORK STRIP : creekstone farms new york strip, herbed fries",meat,vegetarian,vegetarian,vegetarian
THE LOLA TOMAHAWK,snake river farms american wagyu,not vegetarian,195,THE LOLA TOMAHAWK : snake river farms american wagyu,meat,vegetarian,meat,vegetarian
WHIPPED RICOTTA,"BROWN BUTTER, HONEY, SAGE (GF)",vegetarian,12,"WHIPPED RICOTTA : BROWN BUTTER, HONEY, SAGE (GF)",meat,vegetarian,meat,vegetarian
LABNE,"ZA'ATAR, OLIVE OIL (GF)",vegetarian,11,"LABNE : ZA'ATAR, OLIVE OIL (GF)",vegetarian,vegetarian,vegetarian,vegetarian
BABAGANOUSH,"GINGER AIOLI, ZA’ATAR (GF, DF)",vegetarian,12,"BABAGANOUSH : GINGER AIOLI, ZA’ATAR (GF, DF)",vegetarian,vegetarian,vegetarian,vegetarian
BEET HUMMUS,"BEETS, TAHINI, GOAT CHEESE, ORANGES (GF, DF, V)",vegetarian,11,"BEET HUMMUS : BEETS, TAHINI, GOAT CHEESE, ORANGES (GF, DF, V)",meat,vegetarian,vegetarian,vegetarian
MUHAMARRA,"ROASTED RED PEPPER, WALNUT, BREADCRUMBS (GF, DF, V)",vegetarian,12,"MUHAMARRA : ROASTED RED PEPPER, WALNUT, BREADCRUMBS (GF, DF, V)",meat,vegetarian,meat,vegetarian
SWEET POTATO HUMMUS,"CREME FRAICHE, PAPRIKA OIL, ALMONDS (GF, DF, V)",vegetarian,12,"SWEET POTATO HUMMUS : CREME FRAICHE, PAPRIKA OIL, ALMONDS (GF, DF, V)",meat,vegetarian,vegetarian,vegetarian
CRISPY CAULIFLOWER,"PARSLEY, SILAN (GF, DF, V)",vegetarian,15,"CRISPY CAULIFLOWER : PARSLEY, SILAN (GF, DF, V)",vegetarian,vegetarian,vegetarian,vegetarian
LAMB SHAWARMA,"AMBA, HARISSA (GF, DF)",not vegetarian,18,"LAMB SHAWARMA : AMBA, HARISSA (GF, DF)",meat,meat,meat,meat
SAUTEED CHICKEN LIVER,"CARAMELIZED ONION, BALSAMIC",not vegetarian,16,"SAUTEED CHICKEN LIVER : CARAMELIZED ONION, BALSAMIC",meat,meat,meat,meat
MERGUEZ,"GROUND LAMB, HARISSA, PICKLES (GF, DF)",not vegetarian,16,"MERGUEZ : GROUND LAMB, HARISSA, PICKLES (GF, DF)",meat,meat,meat,meat
CHICKEN SHAWARMA,"SHAWARMA SPICES, AMBA, HARISSA (GF, DF)",not vegetarian,16,"CHICKEN SHAWARMA : SHAWARMA SPICES, AMBA, HARISSA (GF, DF)",meat,meat,meat,meat
SHORT RIB,"ALMONDS, HARISSA, CURRANTS (GF, DF)",not vegetarian,17,"SHORT RIB : ALMONDS, HARISSA, CURRANTS (GF, DF)",meat,meat,meat,meat
FALL SALAD HUMMUS,"SQUASH, SHIITAKE, ROSEMARY (GF, DF, V)",vegetarian,15,"FALL SALAD HUMMUS : SQUASH, SHIITAKE, ROSEMARY (GF, DF, V)",vegetarian,meat,vegetarian,meat
KOFTA KEBAB,"BAHARAT, HARISSA, PINE NUTS (GF, DF)",not vegetarian,16,"KOFTA KEBAB : BAHARAT, HARISSA, PINE NUTS (GF, DF)",meat,vegetarian,vegetarian,vegetarian
CHICKEN THIGH,"TAHINI, HARISSA (GF, DF)",not vegetarian,13,"CHICKEN THIGH : TAHINI, HARISSA (GF, DF)",meat,meat,meat,meat
HALLOUMI,"GREEN TAHINI, SUMAC ONIONS, LEMON (GF)",vegetarian,13,"HALLOUMI : GREEN TAHINI, SUMAC ONIONS, LEMON (GF)",meat,vegetarian,vegetarian,vegetarian
SALMON BELLY,"LABNE, CHARMOULA (GF, DF)",not vegetarian,13,"SALMON BELLY : LABNE, CHARMOULA (GF, DF)",meat,meat,meat,meat
MARKET SALAD,"FROM THE FARMS, ROTATING DAILY (GF, DF, V)",vegetarian,16,"MARKET SALAD : FROM THE FARMS, ROTATING DAILY (GF, DF, V)",vegetarian,vegetarian,vegetarian,vegetarian
KALE SALAD,"BEETS, PUMPKIN SEEDS, APPLE, FETA CHEESE, MISO-TAHINI DRESSING (GF, DF, V)",vegetarian,16,"KALE SALAD : BEETS, PUMPKIN SEEDS, APPLE, FETA CHEESE, MISO-TAHINI DRESSING (GF, DF, V)",meat,vegetarian,vegetarian,vegetarian
CHICORY SALAD,"OLIVES, BREADCRUMBS, HONEY HABENERO VINAIGRETTE (GF, DF, V)",vegetarian,16,"CHICORY SALAD : OLIVES, BREADCRUMBS, HONEY HABENERO VINAIGRETTE (GF, DF, V)",vegetarian,vegetarian,vegetarian,vegetarian
OCTOPUS,"EGGPLANT PUREE, CHARRED PEPPERS, CASTELVELTRANO OLIVES (GF, DF)",not vegetarian,19,"OCTOPUS : EGGPLANT PUREE, CHARRED PEPPERS, CASTELVELTRANO OLIVES (GF, DF)",vegetarian,vegetarian,meat,vegetarian
STRACCIATELLA,"EGGPLANT, DATES, BREADCRUMBS (GF)",vegetarian,18,"STRACCIATELLA : EGGPLANT, DATES, BREADCRUMBS (GF)",meat,vegetarian,vegetarian,vegetarian
FALAFEL,"FETA, TAGGIASCA OLIVES, GREEN TAHINI (GF)",vegetarian,16,"FALAFEL : FETA, TAGGIASCA OLIVES, GREEN TAHINI (GF)",meat,vegetarian,vegetarian,vegetarian
